country,year,cereal_yield,fdi_perc_gdp,en_per_gdp,en_per_cap,co2_ttl,co2_per_cap,co2_per_gdp,pop_urb_aggl_perc,prot_area_perc,gdp,gni_per_cap,under_5_mort_rate,pop_growth_perc,pop,urb_pop_growth_perc,urb_pop
PAK,1992,1881.5,0.691843694812664,228.682852813803,397.340959288953,72789.95,0.616810127163219,354.994611621584,15.6004988818646,10.2782358338,48635242274.1568,430.0,120.3,2.60998222601624,118010303.0,3.38517990644804,36677602.1724
PAK,1993,1957.7,0.677094209410359,236.378697308893,407.5048222582,78008.091,0.644535617495889,373.871623870816,15.7165110790997,10.2937733025,51478354558.3299,440.0,118.7,2.52658122316724,121029915.0,3.29581578548281,37906569.378
PAK,1994,1839.1,0.811304164738998,237.094711167534,413.453156265026,84839.712,0.683519739321895,391.964392377143,15.8348310353852,10.2937784778,51894795657.7709,440.0,117.2,2.52257320869525,124121817.0,3.28593569420235,39172845.4452
PAK,1995,2042.0,1.19175194004056,235.821764504558,420.710481942318,84484.013,0.663417303907954,371.866749048293,15.9473743150324,10.2937836088,60636071684.1918,470.0,114.6,2.56499118026038,127346713.0,3.32257056110615,40496254.734
PAK,1996,2048.0,1.45605449462756,235.556255970986,429.177131736216,94447.252,0.722420056598076,396.504266390368,16.051477303655,10.2937886965,63320170084.4076,480.0,111.2,2.62766218552039,130737306.0,3.50431150673866,41940527.7648
PAK,1997,2043.3,1.14722858022912,238.964119197941,428.276140785177,94711.276,0.705453088590069,393.61981650748,16.1503558516348,10.2937937433,62433340468.0228,470.0,108.0,2.65580554119166,134255952.0,3.52483646038941,43445226.0672
PAK,1998,2195.1,0.813610045502484,237.523211033558,425.296997155946,97663.211,0.708689289961233,395.794367000814,16.257875382791,10.2937987627,62191955814.3478,450.0,104.6,2.61149553807472,137808222.0,3.47303932863623,44980603.6608
PAK,1999,2217.9,0.844795024739831,241.530110786409,437.342761436982,100384.125,0.710628382686245,392.456825932643,16.3861084755064,10.2937987627,62973855718.8874,450.0,102.0,2.47467085754991,141261069.0,3.32885542884621,46503143.9148
PAK,2000,2407.8,0.416484257775062,238.205816828431,439.5507853908,106449.343,0.7365605345925,399.164350554394,16.5409171208807,10.2937987627,73952374969.7995,470.0,100.5,2.28233420573116,144522192.0,3.12928421708852,47981367.744
PAK,2001,2230.8,0.52966585927889,237.989272960499,438.643521827671,108282.843,0.733832874167834,398.146429861851,16.7203510144665,10.2938055471,72309738921.3329,480.0,99.3,2.07876149518724,147557907.0,3.09764954244921,49490922.0078
PAK,2002,2261.3,1.13820521423852,233.326682583046,435.506835501977,114084.037,0.758500957021737,406.37367226155504,16.9144674562944,10.2938055471,72306820396.2325,490.0,97.8,1.9125873385074,150407242.0,2.9211986773865,50957973.5896
PAK,2003,2320.5,0.641481501535796,233.400762634727,448.607405666564,118895.141,0.776382542250012,403.935100420807,17.1114019635445,10.2938055471,83244801092.7096,540.0,96.3,1.80052880853887,153139895.0,2.79906867655826,52404472.069
PAK,2004,2430.7,1.14107520857784,232.749412756835,471.936345773137,131619.631,0.844473086518518,416.476960794666,17.2977496365233,10.2938055471,97977766197.6724,620.0,95.0,1.76067418346518,155860066.0,2.74934173064592,53865238.8096
PAK,2005,2615.7,2.00821167883212,223.869972505505,480.155288147131,136636.087,0.861266905565399,401.561334902439,17.4659901871886,10.2938055471,109600000000.0,710.0,93.6,1.77133282062547,158645463.0,2.75032134787812,55367266.587
PAK,2006,2554.0,3.35137254901961,220.179701296069,492.510073038928,145854.925,0.903051967403011,403.715016853892,17.6159825674816,10.2938055471,127500000000.0,780.0,92.3,1.79157207291049,161513324.0,2.98782672564827,57046506.0368
PAK,2007,2744.0,3.90441700403844,220.523918612257,512.018035435865,160882.291,0.978331405117106,421.363038460554,17.7518928509341,10.2938055471,143171182643.097,850.0,90.7,1.79921512924919,164445596.0,2.98132852880145,58772856.0104
PAK,2008,2653.7,3.31804526746275,213.390589976452,494.354537431047,163177.833,0.974531966715356,420.661560848539,17.8763475585715,10.2938055471,163891676021.598,940.0,89.6,1.80587713743074,167442258.0,2.97417971670011,60547120.4928
PHL,1991,2042.6,1.19777604773152,184.716072351448,457.326930947463,45830.166,0.725770915413139,293.141610191837,14.4456821585283,8.85024300945,45417505303.2898,730.0,56.8,2.43362261661138,63146876.0,4.54237877862102,31472402.9984
PHL,1992,2103.2,0.430380619682364,192.616274575761,467.304719473517,50322.241,0.778268545594229,320.791084756745,14.579506636524,8.92802058655,52976363147.6418,780.0,54.3,2.36674083979079,64659225.0,4.43194529505767,32898613.68
PHL,1993,2212.8,2.27706704884984,188.739460609939,456.887139477432,51290.329,0.775084272684413,320.18626683391,14.7207839154165,8.93252152741,54368183871.6747,830.0,51.9,2.31549460254388,66173874.0,4.33890993894066,34357475.3808
PHL,1994,2312.3,2.48265794007999,193.575151756448,478.104850013189,56270.115,0.831131130822121,336.508476694939,14.8687046653568,9.0375431394,64084543195.2152,930.0,49.7,2.28455424340849,67703053.0,4.2678381667003,35855536.8688
PHL,1995,2263.7,1.99406722631222,194.136812484639,490.675555544518,63105.403,0.911198487869232,360.517592484198,15.020753764913,9.09653232074,74119868201.9048,1030.0,47.7,2.26696433030718,69255386.0,4.21167782385933,37397908.44
PHL,1996,2339.6,1.83105982101638,190.08288618183,497.199964326565,65642.967,0.92674928621718,354.302477333666,14.9201274649037,9.54197931317,82848194394.7603,1170.0,46.1,2.25017552324798,70831419.0,3.90310571836903,38886449.031
